repo,total_commits,bug_commits,failure_rate
airflow,36451,12640,0.34676689254067106
ansible,55347,22525,0.40697779464108264
attrs,1757,474,0.26977803073420603
black,2161,793,0.36695974086071265
celery,13024,3196,0.2453931203931204
core,106164,28299,0.2665592856335481
dash,9236,2171,0.23505846686877435
django,34364,21576,0.6278663717844256
fastapi,6914,672,0.09719409892970785
flask,5522,1567,0.28377399492937344
httpx,1523,299,0.1963230466185161
jinja,2949,793,0.2689047134621906
keras,12087,4567,0.3778439645900554
locust,6282,1566,0.2492836676217765
luigi,885,256,0.28926553672316385
numpy,40845,15166,0.37130615742440937
pandas,37342,15030,0.4024958491778694
poetry,3720,1306,0.3510752688172043
pydantic,5425,1831,0.3375115207373272
pyinstaller,9940,4063,0.4087525150905433
pytest,17190,5939,0.34549156486329263
requests,6411,1366,0.2130712837310872
salt,123851,39162,0.3162025336896755
scikit-learn,33440,9796,0.2929425837320574
scrapy,11001,2474,0.22488864648668302
sqlalchemy,17970,6492,0.36126878130217027
starlette,1585,317,0.2
sympy,61851,15765,0.25488674394916816
transformers,22226,11651,0.5242058849995501
xarray,6375,2636,0.41349019607843135
