repo,module_count,import_count,dependency_density
airflow,6810,45854,6.733333333
ansible,1787,10023,5.608841634
attrs,54,273,5.055555556
black,317,725,2.287066246
celery,415,3087,7.438554217
core,16310,143757,8.814040466
dash,365,1574,4.312328767
django,2894,11992,4.143745681
fastapi,1118,3564,3.18783542
flask,83,726,8.746987952
httpx,60,367,6.116666667
jinja,60,652,10.86666667
keras,962,9965,10.35862786
locust,146,1029,7.047945205
luigi,116,665,5.732758621
numpy,492,3898,7.922764228
pandas,1507,11637,7.721964167
poetry,437,4185,9.576659039
pydantic,403,3713,9.213399504
pyinstaller,1083,3137,2.896583564
pytest,263,4417,16.79467681
requests,36,263,7.305555556
salt,2622,15141,5.774599542
scikit-learn,989,10170,10.28311426
scrapy,428,3937,9.198598131
sqlalchemy,663,18595,28.04675716
starlette,67,657,9.805970149
sympy,1590,28718,18.06163522
transformers,4037,38223,9.468169433
xarray,237,3434,14.48945148
